priority,cert_id,subject_id,slug,title,body_characters,h2_count,h3_count,has_table,has_math,question_relation_count,body_characters_per_question,audit_reason
검토,industrial-safety,3,crane-passenger-safety,크레인 전용탑승설비 추락방지,355,4,0,false,false,1,355,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,4,leakage-breaker-exception,누전차단기 설치 불필요 조건,359,4,2,false,false,4,89.8,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,2,compatibility,양립성,359,4,0,false,false,1,359,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,4,grounding-exemption,접지공사 면제·생략 조건,360,4,0,false,false,2,180,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,5,purge-inerting,퍼지 (불활성화),361,4,0,false,false,1,361,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,1,fatality-per-10k,사망만인율,362,4,0,false,true,1,362,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,4,lightning-arrester-conditions,피뢰기 구비조건,363,4,0,false,false,2,181.5,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,2,signal-detection-theory,신호검출이론 (SDT),367,4,0,true,false,1,367,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,5,co2-extinguisher,CO₂ 소화약제 특성,370,4,2,false,false,2,185,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,5,endothermic-substances,흡열반응 물질,371,4,0,false,false,1,371,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,5,safe-explosion-combinations,폭발 위험 낮은 조합,374,4,2,false,false,5,74.8,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,1,leadership-headship,리더십·헤드십,375,4,0,true,false,2,187.5,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,6,soil-permeability-factors,흙의 투수계수 영향 인자,379,4,0,false,false,1,379,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,6,walkway-board-standard,통로발판 구조 기준,379,4,0,false,false,1,379,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,5,bleve,BLEVE (비등액체증기폭발),380,4,0,false,false,2,190,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,4,breaker-types,차단기 종류 비교,384,4,0,true,false,1,384,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,2,z-score,표준화 변수 Z,389,4,0,false,true,2,194.5,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,4,body-current,통전전류,391,4,0,false,true,1,391,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,6,soil-test-types,토질 시험 종류,391,4,0,false,false,1,391,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,4,welder-duty-cycle,아크 용접기 허용사용률,392,4,0,false,true,2,196,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,6,hanging-scaffold-safety-factor,달비계 안전계수 기준,393,4,2,false,true,4,98.3,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,4,max-leakage-current,저압전선로 허용 누설전류,394,4,0,false,true,3,131.3,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,2,point-source-illuminance,점광원 조도,394,4,0,false,true,2,197,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,1,frequency-severity-indicator,종합재해지수 (FSI),394,4,0,false,true,1,394,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,3,sling-wire-tension,슬링 와이어 장력,400,4,0,false,true,1,400,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,3,grinder-rotation-speed,연삭숫돌 회전속도,408,4,0,false,true,3,136,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,1,social-behavior-types,사회행동 기본형태,410,4,0,true,false,1,410,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,3,grinder-exposure-angle,연삭기 노출각도 기준,412,4,0,true,false,2,206,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,1,safety-education-stages,교육의 3단계·단계별 과정,412,4,0,false,false,2,206,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,3,roller-stop-rope-standard,롤러기 급정지장치 조작부 로프 기준,413,4,0,true,false,1,413,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,3,crane-rope-load,크레인 로프 하중,417,4,2,false,true,2,208.5,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,5,fourier-heat-law,푸리에 열전도 법칙,418,4,2,false,true,1,418,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,2,reliability-rt,신뢰도 R(t),418,4,0,false,true,1,418,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,3,shaper-structure,형삭기 구조와 램,418,4,0,true,false,1,418,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,3,balance-flange-diameter,평형 플랜지 지름,425,4,0,false,true,4,106.3,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,2,mttf,MTTF (평균동작시간),425,4,0,false,true,1,425,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,2,composite-noise,합성 소음,427,4,2,false,true,1,427,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,1,tyler-learning-principles,타일러 학습경험 원리,429,4,1,false,false,1,429,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,4,insulation-temperature,절연물 등급별 허용온도,433,4,0,true,false,2,216.5,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,4,power-current,전력 기준 전류 (단상·3상),433,4,2,false,true,1,433,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,4,charge-capacitance,전하량·정전용량,434,4,0,true,true,2,217,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,4,welder-efficiency,교류 아크 용접기 효율,434,4,0,false,true,1,434,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,6,temporary-structure-defects,가설구조물 4대 특징,435,4,2,false,false,1,435,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,3,ilo-guard-opening,보호망·가드 개구부 안전간격,436,5,2,true,true,2,218,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,4,ohms-law,옴의 법칙,438,4,0,true,true,4,109.5,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,2,availability,가용도 (Availability),441,4,0,false,true,1,441,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,3,safety-factor,안전계수 (SF),442,4,0,false,true,6,73.7,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,2,murrell-rest-formula,휴식시간 산정 (Murrell),444,4,0,false,true,2,222,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,4,electrostatic-induction,정전유도 분배 전압,446,4,0,true,true,3,148.7,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,2,safety-assessment-basic-principles,안전성 평가 기본원칙 6단계,446,4,1,false,false,1,446,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,5,mixed-solution-concentration,혼합 용액 농도,447,4,2,false,true,2,223.5,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,6,slope-stabilization-methods,사면 안정 공법 분류,447,4,0,false,false,1,447,완료 챕터의 자체 본문이 450자 미만
검토,industrial-safety,1,learning-theories,학습이론 (손다이크·파블로프·스키너),449,4,0,false,false,2,224.5,완료 챕터의 자체 본문이 450자 미만
