question_id,date,number,cert_id,exam,subject_id,review,final_topic,final_title,relation_action,current_container_slug,proposed_target_slug,slug_state,frontmatter_inclusion,blocking_reason,review_resolution,automatic_confidence,relation_state
20100131_046,2010-01-31,46,energy-management,written,1,,heating-systems,증기·온수·복사난방,split-candidate,boiler-piping-insulation,heating-systems,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_047,2010-01-31,47,energy-management,written,1,,water-treatment-corrosion,수질관리·스케일·부식,existing-slug,boiler-water-treatment,boiler-water-treatment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_048,2010-01-31,48,energy-management,written,1,,steam-traps-condensate,증기트랩·응축수 환수,split-candidate,boiler-piping-insulation,steam-traps-condensate,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,medium,proposal-only-not-applied
20100131_049,2010-01-31,49,energy-management,written,1,,efficiency-output-heat-balance,효율·증발량·열정산,existing-slug,boiler-efficiency-heat-balance,boiler-efficiency-heat-balance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,medium,proposal-only-not-applied
20100131_050,2010-01-31,50,energy-management,written,1,,safety-devices,안전장치·연소안전,existing-slug,boiler-protection-devices,boiler-protection-devices,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_051,2010-01-31,51,energy-management,written,1,,instruments-accessories,계측·부속장치,existing-slug,boiler-accessory-equipment,boiler-accessory-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_052,2010-01-31,52,energy-management,written,1,,boiler-types-construction,보일러 형식·구조·재료,split-candidate,boiler-operation-basics,boiler-types-construction,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_053,2010-01-31,53,energy-management,written,1,,heating-systems,증기·온수·복사난방,split-candidate,boiler-piping-insulation,heating-systems,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,medium,proposal-only-not-applied
20100131_054,2010-01-31,54,energy-management,written,1,,heating-load-radiators,난방부하·방열기 계산,split-candidate,boiler-installation-combustion,heating-load-radiators,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100131_055,2010-01-31,55,energy-management,written,1,,energy-laws-inspection,에너지 관계법규·검사,existing-slug,energy-laws-and-inspection,energy-laws-and-inspection,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_056,2010-01-31,56,energy-management,written,1,,energy-laws-inspection,에너지 관계법규·검사,existing-slug,energy-laws-and-inspection,energy-laws-and-inspection,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_057,2010-01-31,57,energy-management,written,1,,energy-laws-inspection,에너지 관계법규·검사,existing-slug,energy-laws-and-inspection,energy-laws-and-inspection,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_058,2010-01-31,58,energy-management,written,1,,energy-laws-inspection,에너지 관계법규·검사,existing-slug,energy-laws-and-inspection,energy-laws-and-inspection,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_059,2010-01-31,59,energy-management,written,1,,energy-laws-inspection,에너지 관계법규·검사,existing-slug,energy-laws-and-inspection,energy-laws-and-inspection,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100131_060,2010-01-31,60,energy-management,written,1,,energy-laws-inspection,에너지 관계법규·검사,existing-slug,energy-laws-and-inspection,energy-laws-and-inspection,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_001,2010-03-28,1,energy-management,written,1,,piping-fittings-valves,배관·이음쇠·밸브,existing-slug,boiler-piping-insulation,boiler-piping-insulation,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_002,2010-03-28,2,energy-management,written,1,,auxiliary-feedwater-equipment,급수·부대설비,existing-slug,boiler-auxiliary-equipment,boiler-auxiliary-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_003,2010-03-28,3,energy-management,written,1,,burners-furnaces-atomization,버너·화격자·연소장치,split-candidate,boiler-installation-combustion,burners-furnaces-atomization,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,medium,proposal-only-not-applied
20100328_004,2010-03-28,4,energy-management,written,1,,heat-steam-thermodynamics,열·증기·열역학 기초,existing-slug,boiler-operation-basics,boiler-operation-basics,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_005,2010-03-28,5,energy-management,written,1,,fuel-properties,연료 특성·발열량,split-candidate,boiler-installation-combustion,fuel-properties,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100328_006,2010-03-28,6,energy-management,written,1,,efficiency-output-heat-balance,효율·증발량·열정산,existing-slug,boiler-efficiency-heat-balance,boiler-efficiency-heat-balance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_007,2010-03-28,7,energy-management,written,1,,burners-furnaces-atomization,버너·화격자·연소장치,split-candidate,boiler-installation-combustion,burners-furnaces-atomization,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,pdf-reviewed,low,proposal-only-not-applied
20100328_008,2010-03-28,8,energy-management,written,1,,efficiency-output-heat-balance,효율·증발량·열정산,existing-slug,boiler-efficiency-heat-balance,boiler-efficiency-heat-balance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_009,2010-03-28,9,energy-management,written,1,,environmental-pollution-control,집진·환경설비,split-candidate,boiler-accessory-equipment,environmental-pollution-control,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100328_010,2010-03-28,10,energy-management,written,1,,fuel-properties,연료 특성·발열량,split-candidate,boiler-installation-combustion,fuel-properties,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100328_011,2010-03-28,11,energy-management,written,1,,draft-flue-gas,통풍·연도·굴뚝,split-candidate,boiler-installation-combustion,draft-flue-gas,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100328_012,2010-03-28,12,energy-management,written,1,,safety-devices,안전장치·연소안전,existing-slug,boiler-protection-devices,boiler-protection-devices,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_013,2010-03-28,13,energy-management,written,1,,efficiency-output-heat-balance,효율·증발량·열정산,existing-slug,boiler-efficiency-heat-balance,boiler-efficiency-heat-balance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_014,2010-03-28,14,energy-management,written,1,,boiler-types-construction,보일러 형식·구조·재료,split-candidate,boiler-operation-basics,boiler-types-construction,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,medium,proposal-only-not-applied
20100328_015,2010-03-28,15,energy-management,written,1,,boiler-types-construction,보일러 형식·구조·재료,split-candidate,boiler-operation-basics,boiler-types-construction,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100328_016,2010-03-28,16,energy-management,written,1,,efficiency-output-heat-balance,효율·증발량·열정산,existing-slug,boiler-efficiency-heat-balance,boiler-efficiency-heat-balance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_017,2010-03-28,17,energy-management,written,1,,boiler-types-construction,보일러 형식·구조·재료,split-candidate,boiler-operation-basics,boiler-types-construction,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100328_018,2010-03-28,18,energy-management,written,1,,automatic-control-interlocks,자동제어·인터록,existing-slug,boiler-control-systems,boiler-control-systems,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_019,2010-03-28,19,energy-management,written,1,,heat-steam-thermodynamics,열·증기·열역학 기초,existing-slug,boiler-operation-basics,boiler-operation-basics,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_020,2010-03-28,20,energy-management,written,1,,automatic-control-interlocks,자동제어·인터록,existing-slug,boiler-control-systems,boiler-control-systems,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,medium,proposal-only-not-applied
20100328_021,2010-03-28,21,energy-management,written,1,,auxiliary-feedwater-equipment,급수·부대설비,existing-slug,boiler-auxiliary-equipment,boiler-auxiliary-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_022,2010-03-28,22,energy-management,written,1,,automatic-control-interlocks,자동제어·인터록,existing-slug,boiler-control-systems,boiler-control-systems,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_023,2010-03-28,23,energy-management,written,1,,combustion-air-calculation,연소·공기비·배기가스 계산,existing-slug,boiler-installation-combustion,boiler-installation-combustion,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_024,2010-03-28,24,energy-management,written,1,,fuel-properties,연료 특성·발열량,split-candidate,boiler-installation-combustion,fuel-properties,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100328_025,2010-03-28,25,energy-management,written,1,,instruments-accessories,계측·부속장치,existing-slug,boiler-accessory-equipment,boiler-accessory-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_026,2010-03-28,26,energy-management,written,1,,efficiency-output-heat-balance,효율·증발량·열정산,existing-slug,boiler-efficiency-heat-balance,boiler-efficiency-heat-balance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_027,2010-03-28,27,energy-management,written,1,,instruments-accessories,계측·부속장치,existing-slug,boiler-accessory-equipment,boiler-accessory-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_028,2010-03-28,28,energy-management,written,1,,heat-steam-thermodynamics,열·증기·열역학 기초,existing-slug,boiler-operation-basics,boiler-operation-basics,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,medium,proposal-only-not-applied
20100328_029,2010-03-28,29,energy-management,written,1,,instruments-accessories,계측·부속장치,existing-slug,boiler-accessory-equipment,boiler-accessory-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,medium,proposal-only-not-applied
20100328_030,2010-03-28,30,energy-management,written,1,,heating-systems,증기·온수·복사난방,split-candidate,boiler-piping-insulation,heating-systems,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100328_031,2010-03-28,31,energy-management,written,1,,water-treatment-corrosion,수질관리·스케일·부식,existing-slug,boiler-water-treatment,boiler-water-treatment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_032,2010-03-28,32,energy-management,written,1,,energy-laws-inspection,에너지 관계법규·검사,existing-slug,energy-laws-and-inspection,energy-laws-and-inspection,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_033,2010-03-28,33,energy-management,written,1,,instruments-accessories,계측·부속장치,existing-slug,boiler-accessory-equipment,boiler-accessory-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,medium,proposal-only-not-applied
20100328_034,2010-03-28,34,energy-management,written,1,,failures-accidents-safety,고장·사고·작업안전,existing-slug,boiler-work-safety,boiler-work-safety,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_035,2010-03-28,35,energy-management,written,1,,operation-maintenance-preservation,기동·운전·정지·보존,existing-slug,boiler-operation-maintenance,boiler-operation-maintenance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_036,2010-03-28,36,energy-management,written,1,,operation-maintenance-preservation,기동·운전·정지·보존,existing-slug,boiler-operation-maintenance,boiler-operation-maintenance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_037,2010-03-28,37,energy-management,written,1,,heating-load-radiators,난방부하·방열기 계산,split-candidate,boiler-installation-combustion,heating-load-radiators,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100328_038,2010-03-28,38,energy-management,written,1,,water-treatment-corrosion,수질관리·스케일·부식,existing-slug,boiler-water-treatment,boiler-water-treatment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,medium,proposal-only-not-applied
20100328_039,2010-03-28,39,energy-management,written,1,,heating-systems,증기·온수·복사난방,split-candidate,boiler-piping-insulation,heating-systems,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100328_040,2010-03-28,40,energy-management,written,1,,heating-load-radiators,난방부하·방열기 계산,split-candidate,boiler-installation-combustion,heating-load-radiators,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100328_041,2010-03-28,41,energy-management,written,1,,instruments-accessories,계측·부속장치,existing-slug,boiler-accessory-equipment,boiler-accessory-equipment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,medium,proposal-only-not-applied
20100328_042,2010-03-28,42,energy-management,written,1,,heating-systems,증기·온수·복사난방,split-candidate,boiler-piping-insulation,heating-systems,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100328_043,2010-03-28,43,energy-management,written,1,,insulation-materials,보온·단열재,split-candidate,boiler-piping-insulation,insulation-materials,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100328_044,2010-03-28,44,energy-management,written,1,,operation-maintenance-preservation,기동·운전·정지·보존,existing-slug,boiler-operation-maintenance,boiler-operation-maintenance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_045,2010-03-28,45,energy-management,written,1,,operation-maintenance-preservation,기동·운전·정지·보존,existing-slug,boiler-operation-maintenance,boiler-operation-maintenance,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_046,2010-03-28,46,energy-management,written,1,,draft-flue-gas,통풍·연도·굴뚝,split-candidate,boiler-installation-combustion,draft-flue-gas,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,high,proposal-only-not-applied
20100328_047,2010-03-28,47,energy-management,written,1,,steam-traps-condensate,증기트랩·응축수 환수,split-candidate,boiler-piping-insulation,steam-traps-condensate,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,medium,proposal-only-not-applied
20100328_048,2010-03-28,48,energy-management,written,1,,environmental-pollution-control,집진·환경설비,split-candidate,boiler-accessory-equipment,environmental-pollution-control,proposal-not-created,pending-owner-activation,신규 slug Owner 승인 필요,automatic,medium,proposal-only-not-applied
20100328_049,2010-03-28,49,energy-management,written,1,,safety-devices,안전장치·연소안전,existing-slug,boiler-protection-devices,boiler-protection-devices,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_050,2010-03-28,50,energy-management,written,1,,water-treatment-corrosion,수질관리·스케일·부식,existing-slug,boiler-water-treatment,boiler-water-treatment,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_051,2010-03-28,51,energy-management,written,1,,piping-fittings-valves,배관·이음쇠·밸브,existing-slug,boiler-piping-insulation,boiler-piping-insulation,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,automatic,high,proposal-only-not-applied
20100328_052,2010-03-28,52,energy-management,written,1,,safety-devices,안전장치·연소안전,existing-slug,boiler-protection-devices,boiler-protection-devices,existing,pending-owner-activation,frontmatter 관계 활성화 승인 필요,pdf-reviewed,low,proposal-only-not-applied
