question_id,date,number,review,primary_topic,primary_title,current_slug,final_topic,final_title,final_current_slug,review_resolution,score,runner_up,runner_up_score,confidence,tied,secondary_topics,matched_terms,body
20100131_020,2010-01-31,20,,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,automatic,32,boiler-types-construction,18,high,false,boiler-types-construction:18,본문:보일러 효율 | 본문:출력·부하율,"최고사용압력 0.35MPa이하이고, 전열면적이 5㎡ 이하인 소용량보일러로의 열효율은 표시정격용량 이상의 부하에서 고위발열량 기준 몇 % 이상이어야 하는가?"
20100131_021,2010-01-31,21,,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,automatic,30,water-treatment-corrosion,10,high,false,,본문:보일러 형식 | 본문:보일러 구조,수관식 보일러의 특징 설명으로 틀린 것은?
20100131_022,2010-01-31,22,,auxiliary-feedwater-equipment,급수·부대설비,boiler-auxiliary-equipment,auxiliary-feedwater-equipment,급수·부대설비,boiler-auxiliary-equipment,automatic,18,automatic-control-interlocks,0,high,false,,본문:급수펌프,웨어펌프의 특징으로 틀린 것은?
20100131_023,2010-01-31,23,,water-treatment-corrosion,수질관리·스케일·부식,boiler-water-treatment,water-treatment-corrosion,수질관리·스케일·부식,boiler-water-treatment,automatic,28,fuel-properties,10,high,false,,본문:수처리 | 선택지:캐리오버,보일러수 중에 용해되어 있는 고형분이나 수분이 증기의 흐름에 따라 발생증기에 포함되어 분출되는 현상은?
20100131_024,2010-01-31,24,,instruments-accessories,계측·부속장치,boiler-accessory-equipment,instruments-accessories,계측·부속장치,boiler-accessory-equipment,automatic,23,auxiliary-feedwater-equipment,7,high,false,,본문:부속장치 | 선택지:분출장치,보일러 부속장치가 아닌 것은?
20100131_025,2010-01-31,25,,safety-devices,안전장치·연소안전,boiler-protection-devices,safety-devices,안전장치·연소안전,boiler-protection-devices,automatic,53,piping-fittings-valves,8,high,false,,본문:안전장치 | 선택지:안전밸브·방출밸브 | 선택지:저수위 보호 | 선택지:수위경보기 | 선택지:화염 감시,보일러의 안전장치와 가장 관계가 없는 것은?
20100131_026,2010-01-31,26,,instruments-accessories,계측·부속장치,boiler-accessory-equipment,instruments-accessories,계측·부속장치,boiler-accessory-equipment,automatic,18,operation-maintenance-preservation,10,high,false,operation-maintenance-preservation:10,본문:수트블로워,수트블로워(soot blower)시 주의 사항으로 틀린 것은?
20100131_027,2010-01-31,27,,environmental-pollution-control,집진·환경설비,boiler-accessory-equipment,environmental-pollution-control,집진·환경설비,boiler-accessory-equipment,automatic,29,automatic-control-interlocks,0,high,false,,본문:집진장치 | 선택지:집진 방식,집진장치 중 집진효율은 높으나 압력손실이 낮은 형식은?
20100131_028,2010-01-31,28,,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,automatic,38,automatic-control-interlocks,0,high,false,,본문:보일러 형식 | 선택지:형식 고유명 | 본문:보일러 구조,수관식 보일러 중 관류식에 해당되는 것은?
20100131_029,2010-01-31,29,,instruments-accessories,계측·부속장치,boiler-accessory-equipment,instruments-accessories,계측·부속장치,boiler-accessory-equipment,automatic,18,boiler-types-construction,12,high,false,boiler-types-construction:12,본문:분출장치,분출밸브의 크기는 전열면적이 10m2 이하의 경우 호칭지름 몇 ㎜ 이상으로 할 수 있는가?
20100131_030,2010-01-31,30,,operation-maintenance-preservation,기동·운전·정지·보존,boiler-operation-maintenance,operation-maintenance-preservation,기동·운전·정지·보존,boiler-operation-maintenance,automatic,19,draft-flue-gas,16,medium,false,draft-flue-gas:16 | failures-accidents-safety:12,선택지:기동·점화 | 본문:정상운전·송기,보일러 연소 조작중의 역화의 원인에 해당되지 않는 것은?
20100131_031,2010-01-31,31,,heating-systems,증기·온수·복사난방,boiler-piping-insulation,heating-systems,증기·온수·복사난방,boiler-piping-insulation,automatic,15,automatic-control-interlocks,0,high,false,,선택지:난방 방식 | 본문:방열기,건물의 각 실내에 방열기를 설치하여 증기 또는 온수로 난방하는 방식은?
20100131_032,2010-01-31,32,,water-treatment-corrosion,수질관리·스케일·부식,boiler-water-treatment,water-treatment-corrosion,수질관리·스케일·부식,boiler-water-treatment,automatic,38,auxiliary-feedwater-equipment,17,high,false,,본문:수처리 | 본문:스케일,보일러의 수처리에서 진공탈기기의 감압장치로 쓰이는 것은?
20100131_033,2010-01-31,33,,heating-load-radiators,난방부하·방열기 계산,boiler-installation-combustion,heating-load-radiators,난방부하·방열기 계산,boiler-installation-combustion,automatic,38,heat-steam-thermodynamics,14,high,false,,본문:방열기 계산 | 본문:난방 계산,"어떤 주철제 방열기 내의 증기의 평균온도가 110℃이고, 실내온도가 18℃일 때, 방열기의 방열량은? (단, 방열기의 방열계수는 7.2kcal/m2·h·℃이다.)"
20100131_034,2010-01-31,34,,auxiliary-feedwater-equipment,급수·부대설비,boiler-auxiliary-equipment,auxiliary-feedwater-equipment,급수·부대설비,boiler-auxiliary-equipment,automatic,16,fuel-properties,5,high,false,,선택지:과열·재열 | 선택지:급수장치,보일러내의 급수 시 주의시항으로 틀린 것은?
20100131_035,2010-01-31,35,,failures-accidents-safety,고장·사고·작업안전,boiler-work-safety,failures-accidents-safety,고장·사고·작업안전,boiler-work-safety,automatic,12,combustion-air-calculation,9,medium,false,combustion-air-calculation:9 | draft-flue-gas:7,본문:연소 이상,보일러 점화불량의 원인에 해당되지 않는 것은?
20100131_036,2010-01-31,36,,heat-steam-thermodynamics,열·증기·열역학 기초,boiler-operation-basics,heating-load-radiators,난방부하·방열기 계산,boiler-installation-combustion,pdf-reviewed,14,heating-load-radiators,14,low,true,heating-load-radiators:14,본문:비열·열량,냉각된 보일러를 운전 온도가 될 때까지 가열하는데 필요한 열량과 장치 내에 보유하는 물을 가열하는데 필요한 열량의 합을 무엇이라고 하는가?
20100131_037,2010-01-31,37,,operation-maintenance-preservation,기동·운전·정지·보존,boiler-operation-maintenance,operation-maintenance-preservation,기동·운전·정지·보존,boiler-operation-maintenance,automatic,16,draft-flue-gas,7,high,false,,본문:정지,보일러 운전정지 순서에 들어갈 내용으로 틀린 것은?
20100131_038,2010-01-31,38,,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,automatic,12,failures-accidents-safety,7,high,false,failures-accidents-safety:7,본문:보일러 구조,과열된 보일러 동체가 내부 압력에 견디지 못하고 외부로 부풀어 나오는 현상은?
20100131_039,2010-01-31,39,,instruments-accessories,계측·부속장치,boiler-accessory-equipment,instruments-accessories,계측·부속장치,boiler-accessory-equipment,automatic,20,operation-maintenance-preservation,8,high,false,,본문:수면계,증기 보일러에서 수면계의 점검시기에 대한 설명으로 틀린 것은?
20100131_040,2010-01-31,40,,heating-systems,증기·온수·복사난방,boiler-piping-insulation,heating-systems,증기·온수·복사난방,boiler-piping-insulation,automatic,21,heating-load-radiators,10,high,false,,본문:난방 방식 | 선택지:방열기,증기난방의 특징에 대한 설명으로 틀린 것은?
20100131_041,2010-01-31,41,,operation-maintenance-preservation,기동·운전·정지·보존,boiler-operation-maintenance,operation-maintenance-preservation,기동·운전·정지·보존,boiler-operation-maintenance,automatic,18,automatic-control-interlocks,0,high,false,,본문:보존,보일러 만수보존법의 설명으로 틀린 것은?
20100131_042,2010-01-31,42,,safety-devices,안전장치·연소안전,boiler-protection-devices,safety-devices,안전장치·연소안전,boiler-protection-devices,automatic,18,automatic-control-interlocks,0,high,false,,본문:안전밸브·방출밸브,액상식 열매체보일러 및 온도 120℃이하의 온수 발생 보일러에 설치하는 방출밸브의 지름은 몇 ㎜ 이상으로 해야 하는가?
20100131_043,2010-01-31,43,,instruments-accessories,계측·부속장치,boiler-accessory-equipment,instruments-accessories,계측·부속장치,boiler-accessory-equipment,automatic,16,piping-fittings-valves,12,high,false,piping-fittings-valves:12,본문:압력·온도·유량계,증기보일러의 압력계 부착에 대한 설명으로 틀린 것은?
20100131_044,2010-01-31,44,,safety-devices,안전장치·연소안전,boiler-protection-devices,safety-devices,안전장치·연소안전,boiler-protection-devices,automatic,36,automatic-control-interlocks,0,high,false,,본문:안전장치 | 본문:저수위 보호,저수위안전장치는 연료차단 전에 경보가 울려야 한다. 이때 경보음은 몇 dB이상이어야 하는가?
20100131_045,2010-01-31,45,,heating-systems,증기·온수·복사난방,boiler-piping-insulation,heating-systems,증기·온수·복사난방,boiler-piping-insulation,automatic,18,insulation-materials,10,high,false,insulation-materials:10,본문:난방 방식,온수온돌의 설치 시 단점에 해당되지 않는 것은?
20100131_046,2010-01-31,46,,heating-systems,증기·온수·복사난방,boiler-piping-insulation,heating-systems,증기·온수·복사난방,boiler-piping-insulation,automatic,18,efficiency-output-heat-balance,10,high,false,efficiency-output-heat-balance:10,본문:난방 방식,복사난방에 대한 특징을 설명한 것으로 틀린 것은?
20100131_047,2010-01-31,47,,water-treatment-corrosion,수질관리·스케일·부식,boiler-water-treatment,water-treatment-corrosion,수질관리·스케일·부식,boiler-water-treatment,automatic,16,automatic-control-interlocks,0,high,false,,본문:부식,보일러 부식 중 용융재가 부착한 환경에서 일어나는 부식은?
20100131_048,2010-01-31,48,,steam-traps-condensate,증기트랩·응축수 환수,boiler-piping-insulation,steam-traps-condensate,증기트랩·응축수 환수,boiler-piping-insulation,automatic,7,automatic-control-interlocks,0,medium,false,,선택지:응축수,"트랩과 같이 주요 부품이나 기기 등의 고장, 수리, 교체 등에 대비하여 설치하는 것은?"
20100131_049,2010-01-31,49,,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,automatic,10,auxiliary-feedwater-equipment,7,medium,false,auxiliary-feedwater-equipment:7 | combustion-air-calculation:6,선택지:보일러 효율,보일러의 연소 시 주의사항 중 급격한 연소가 되어서는 안 되는 이유로 가장 옳은 것은?
20100131_050,2010-01-31,50,,safety-devices,안전장치·연소안전,boiler-protection-devices,safety-devices,안전장치·연소안전,boiler-protection-devices,automatic,18,boiler-types-construction,12,high,false,boiler-types-construction:12,본문:안전밸브·방출밸브,보일러의 전열면적이 20㎡ 이상일 경우 방출관의 안지름은 몇 ㎜ 이상이어야 하는가?
20100131_051,2010-01-31,51,,instruments-accessories,계측·부속장치,boiler-accessory-equipment,instruments-accessories,계측·부속장치,boiler-accessory-equipment,automatic,20,operation-maintenance-preservation,8,high,false,,본문:수면계,플로트식 수위검출기 보수 및 점검에 관한 내용으로 가장 거리가 먼 것은?
20100131_052,2010-01-31,52,,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,automatic,46,automatic-control-interlocks,0,high,false,,본문:보일러 형식 | 본문:재료·제작 | 본문:수압시험 | 본문:최고사용압력,주철제 보일러의 최고사용압력이 0.30MPa인 경우 수압시험압력은?
20100131_053,2010-01-31,53,,heating-systems,증기·온수·복사난방,boiler-piping-insulation,heating-systems,증기·온수·복사난방,boiler-piping-insulation,automatic,21,heating-load-radiators,19,medium,false,heating-load-radiators:19,본문:난방 방식 | 선택지:방열기,온수난방의 설명으로 맞는 것은?
20100131_054,2010-01-31,54,,heating-load-radiators,난방부하·방열기 계산,boiler-installation-combustion,heating-load-radiators,난방부하·방열기 계산,boiler-installation-combustion,automatic,18,efficiency-output-heat-balance,10,high,false,efficiency-output-heat-balance:10,본문:난방부하,난방부하의 계산 방법으로 맞지 않는 것은?
20100131_055,2010-01-31,55,,energy-laws-inspection,에너지 관계법규·검사,energy-laws-and-inspection,energy-laws-inspection,에너지 관계법규·검사,energy-laws-and-inspection,automatic,32,automatic-control-interlocks,0,high,false,,본문:에너지이용합리화법 | 본문:효율관리,에너지이용합리화법상 효율관리 기자재의 에너지 사용량을 측정 받아 에너지소비효율 등급 또는 에너지소비효율을 해당 효율관리 기자재에 표시할 수 있도록 측정하는 기관은?
20100131_056,2010-01-31,56,,energy-laws-inspection,에너지 관계법규·검사,energy-laws-and-inspection,energy-laws-inspection,에너지 관계법규·검사,energy-laws-and-inspection,automatic,40,automatic-control-interlocks,0,high,false,,본문:에너지이용합리화법 | 선택지:법령·행정 | 본문:열사용기자재,"에너지이용합리화법상 시공업자단체의 설립, 정관의 기재사항과 감독에 관하여 필요한 사항을 정하는 령은?"
20100131_057,2010-01-31,57,,energy-laws-inspection,에너지 관계법규·검사,energy-laws-and-inspection,energy-laws-inspection,에너지 관계법규·검사,energy-laws-and-inspection,automatic,26,automatic-control-interlocks,0,high,false,,본문:열사용기자재 | 본문:검사 행정,검사대상기기의 검사의 종류 중 계속사용검사의 종류에 해당되지 않는 것은?
20100131_058,2010-01-31,58,,energy-laws-inspection,에너지 관계법규·검사,energy-laws-and-inspection,energy-laws-inspection,에너지 관계법규·검사,energy-laws-and-inspection,automatic,42,automatic-control-interlocks,0,high,false,,본문:에너지이용합리화법 | 본문:법령·행정 | 본문:에너지사용·진단,에너지이용합리화법 시행령에서 에너지다소비사업자라 함은 연료·열 및 전력의 연간 사용량 합계가 얼마 이상 인 경우인가?
20100131_059,2010-01-31,59,,energy-laws-inspection,에너지 관계법규·검사,energy-laws-and-inspection,energy-laws-inspection,에너지 관계법규·검사,energy-laws-and-inspection,automatic,22,draft-flue-gas,7,high,false,,본문:법령·행정 | 본문:에너지사용·진단,에너지다소비업자가 지식경제부령으로 정하는 바에 따라 시·도지사에게 신고해야 하는 사항과 관련이 없는 것은?
20100131_060,2010-01-31,60,,energy-laws-inspection,에너지 관계법규·검사,energy-laws-and-inspection,energy-laws-inspection,에너지 관계법규·검사,energy-laws-and-inspection,automatic,20,automatic-control-interlocks,0,high,false,,본문:에너지이용합리화법,에너지이용합리화법의 기본 목적이 아닌 것은?
20100328_001,2010-03-28,1,,piping-fittings-valves,배관·이음쇠·밸브,boiler-piping-insulation,piping-fittings-valves,배관·이음쇠·밸브,boiler-piping-insulation,automatic,16,automatic-control-interlocks,0,high,false,,본문:밸브 일반,보일러 주증기 밸브의 일반적인 형식으로 증기의 흐름방향을 90°바꾸어 주는 밸브는?
20100328_002,2010-03-28,2,,auxiliary-feedwater-equipment,급수·부대설비,boiler-auxiliary-equipment,auxiliary-feedwater-equipment,급수·부대설비,boiler-auxiliary-equipment,automatic,18,automatic-control-interlocks,0,high,false,,본문:급수펌프,급수펌프 중 왕복식 펌프가 아닌 것은?
20100328_003,2010-03-28,3,,burners-furnaces-atomization,버너·화격자·연소장치,boiler-installation-combustion,burners-furnaces-atomization,버너·화격자·연소장치,boiler-installation-combustion,automatic,8,combustion-air-calculation,3,medium,false,,선택지:화격자·연소장치,보일러의 3대 구성요소에 해당하지 않는 것은?
20100328_004,2010-03-28,4,,heat-steam-thermodynamics,열·증기·열역학 기초,boiler-operation-basics,heat-steam-thermodynamics,열·증기·열역학 기초,boiler-operation-basics,automatic,18,automatic-control-interlocks,0,high,false,,본문:증기 상태,포화온도상태에서 증기의 건조도가 1이면 어떤 증기인가?
20100328_005,2010-03-28,5,,fuel-properties,연료 특성·발열량,boiler-installation-combustion,fuel-properties,연료 특성·발열량,boiler-installation-combustion,automatic,49,combustion-air-calculation,19,high,false,,본문:연료 종류 | 선택지:석탄 | 본문:가스 연료 | 선택지:발열량 | 선택지:연료 성분,기체연료의 특징에 대한 설명으로 틀린 것은?
20100328_006,2010-03-28,6,,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,automatic,40,draft-flue-gas,8,high,false,,본문:보일러 효율 | 본문:열정산,"보일러 열효율 정산방법에서 보일러 열정산의 기준온도로 주로 사용되는 것은? (단, 육상용 보일러의 열정산방식 KS B 6205 기준)"
20100328_007,2010-03-28,7,,burners-furnaces-atomization,버너·화격자·연소장치,boiler-installation-combustion,burners-furnaces-atomization,버너·화격자·연소장치,boiler-installation-combustion,pdf-reviewed,16,combustion-air-calculation,15,low,false,combustion-air-calculation:15 | efficiency-output-heat-balance:10,본문:화격자·연소장치,보일러 연소장치의 선정기준에 대한 설명으로 틀린 것은?
20100328_008,2010-03-28,8,,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,automatic,22,heat-steam-thermodynamics,18,high,false,heat-steam-thermodynamics:18,본문:증발량,"증기보일러의 상당증발량 계산식으로 옳은 것은? (단, G : 실제증발량(kg/h), i1 : 급수의 엔탈피(kcal/kg), i2 : 발생증기의 엔탈피(kcal/kg))"
20100328_009,2010-03-28,9,,environmental-pollution-control,집진·환경설비,boiler-accessory-equipment,environmental-pollution-control,집진·환경설비,boiler-accessory-equipment,automatic,20,automatic-control-interlocks,0,high,false,,본문:집진장치,집진장치의 종류 중 건식집진장치 종류가 아닌 것은?
20100328_010,2010-03-28,10,,fuel-properties,연료 특성·발열량,boiler-installation-combustion,fuel-properties,연료 특성·발열량,boiler-installation-combustion,automatic,36,automatic-control-interlocks,0,high,false,,본문:유류·중유 | 본문:발열량 | 본문:연료 성분,"수소 13%, 수분 0.5%가 포함되어 있는 어떤 중유의 고위 발열량이 9,700Kcal/Kg이다. 이 중유의 저위 발열량은?"
20100328_011,2010-03-28,11,,draft-flue-gas,통풍·연도·굴뚝,boiler-installation-combustion,draft-flue-gas,통풍·연도·굴뚝,boiler-installation-combustion,automatic,26,automatic-control-interlocks,0,high,false,,본문:송풍기 | 본문:풍량,"풍량이 120m3/min, 풍압 35㎜Aq, 송풍기의 소요동력은 약 얼마인가? (단, 효율은 60%이다.)"
20100328_012,2010-03-28,12,,safety-devices,안전장치·연소안전,boiler-protection-devices,safety-devices,안전장치·연소안전,boiler-protection-devices,automatic,18,automatic-control-interlocks,0,high,false,,본문:안전밸브·방출밸브,보일러에서 안전밸브의 분출면적은 고압일수록 저압일 때보다 어떠해야 하는가?
20100328_013,2010-03-28,13,,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,automatic,16,automatic-control-interlocks,0,high,false,,본문:보일러마력,보일러 1마력에 대한 설명으로 옳은 것은?
20100328_014,2010-03-28,14,,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,automatic,12,heat-steam-thermodynamics,9,medium,false,heat-steam-thermodynamics:9,본문:보일러 구조,수관보일러에서 강제 순환식으로 하는 가장 큰 이유는?
20100328_015,2010-03-28,15,,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,automatic,24,automatic-control-interlocks,0,high,false,,본문:내분·외분식 | 선택지:보일러 구조,원통보일러 중 외분식 보일러인 것은?
20100328_016,2010-03-28,16,,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,efficiency-output-heat-balance,효율·증발량·열정산,boiler-efficiency-heat-balance,automatic,20,auxiliary-feedwater-equipment,16,high,false,auxiliary-feedwater-equipment:16,선택지:보일러 효율 | 선택지:열정산,공기예열기에 대한 설명으로 틀린 것은?
20100328_017,2010-03-28,17,,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,boiler-types-construction,보일러 형식·구조·재료,boiler-operation-basics,automatic,39,automatic-control-interlocks,0,high,false,,본문:보일러 형식 | 선택지:내분·외분식 | 본문:보일러 구조,수관식 보일러의 구성을 설명한 것으로 틀린 것은?
20100328_018,2010-03-28,18,,automatic-control-interlocks,자동제어·인터록,boiler-control-systems,automatic-control-interlocks,자동제어·인터록,boiler-control-systems,automatic,36,auxiliary-feedwater-equipment,0,high,false,,본문:자동제어 | 본문:제어동작,"자동제어 동작 중 이 동작은 잔류편차가 남지 않아서 비례동작과 조합하여 쓰여지는데, 제어의 안정성이 떨어지고, 진동하는 경향이 있는 동작은?"
20100328_019,2010-03-28,19,,heat-steam-thermodynamics,열·증기·열역학 기초,boiler-operation-basics,heat-steam-thermodynamics,열·증기·열역학 기초,boiler-operation-basics,automatic,23,automatic-control-interlocks,0,high,false,,선택지:증기 상태 | 본문:압력·온도 기초,대기압 하에서 1kg의 열용량이 가장 큰 것은?
20100328_020,2010-03-28,20,,automatic-control-interlocks,자동제어·인터록,boiler-control-systems,automatic-control-interlocks,자동제어·인터록,boiler-control-systems,automatic,18,draft-flue-gas,16,medium,false,draft-flue-gas:16,본문:인터록,대형보일러인 경우 송풍기가 작동하지 않으면 전자밸브가 열리지 않아 점화를 차단하는 인터록은?
